match,player,emg_mean,emg_std,facial_skin_temperature_mean,facial_skin_temperature_std,gsr_mean,gsr_std,heart_rate_mean,heart_rate_std,imu_chair_back_mean,imu_chair_back_std,imu_chair_seat_mean,imu_chair_seat_std,imu_left_hand_mean,imu_left_hand_std,imu_right_hand_mean,imu_right_hand_std,report_role,report_performance_evaluation,report_performance_evaluation_teammates,report_mental_load,report_sensing_system_disturbance,spo2_mean,spo2_std,eeg_band_power_mean,eeg_band_power_std,eeg_metrics_mean,eeg_metrics_std,eye_tracker_mean,eye_tracker_std,imu_head_mean,imu_head_std,keyboard_mean,keyboard_std,mouse_mean,mouse_std,player_id,team,hours_played,best_rank_achieved,rank_season_9,dominant_hand,emg_gsr_ratio,heart_emg_ratio,gsr_spo2_diff
match_1,player_0,261.2390718707521,150.12589171834674,399.55311154230367,220.8741182036768,34898.422105730846,604.7838413758583,429.9154981597883,224.6752640962882,45.01552856044106,26.03596296467929,45.02478563226222,26.14621734696773,58.6745744338185,35.7062694140818,55.46180785500171,29.392044994957356,top,3.0,3.0,3.0,no,432.05318335380593,222.60815938286325,,,,,,,,,,,,,0,amateurs,336,gold,gold,right,0.007485698667744838,1.6456783950251146,34466.36892237704
match_1,player_0,261.2390718707521,150.12589171834674,399.55311154230367,220.8741182036768,34898.422105730846,604.7838413758583,429.9154981597883,224.6752640962882,45.01552856044106,26.03596296467929,45.02478563226222,26.14621734696773,58.6745744338185,35.7062694140818,55.46180785500171,29.392044994957356,top,3.0,3.0,3.0,no,432.05318335380593,222.60815938286325,,,,,,,,,,,,,0,pros,5000,diamond,diamond,left,0.007485698667744838,1.6456783950251146,34466.36892237704
match_1,player_1,262.4848707840876,149.92127328836006,400.4929357568579,220.65600368784314,14121.72546269217,1128.0738059342734,421.0870210214002,223.57945828832138,50.98279524371293,29.204483871552185,64.67745853559774,26.320469564475236,50.36381620209613,31.800069150764998,59.90354087080348,29.6212381937341,adc,2.0,3.0,4.0,a little bit,432.8126553353766,221.01562491005535,112.92351410974608,106.71419593708022,109.6207624642295,62.65046612973975,800.9558110030733,380.9189861755278,191.3650094505939,110.64232087685221,383.1845238095238,221.82241595135318,815.6187161008523,448.7432182381669,1,amateurs,1200,gold,gold,right,0.01858730871513913,1.6042334865217454,13688.912807356794
match_1,player_1,262.4848707840876,149.92127328836006,400.4929357568579,220.65600368784314,14121.72546269217,1128.0738059342734,421.0870210214002,223.57945828832138,50.98279524371293,29.204483871552185,64.67745853559774,26.320469564475236,50.36381620209613,31.800069150764998,59.90354087080348,29.6212381937341,adc,2.0,3.0,4.0,a little bit,432.8126553353766,221.01562491005535,112.92351410974608,106.71419593708022,109.6207624642295,62.65046612973975,800.9558110030733,380.9189861755278,191.3650094505939,110.64232087685221,383.1845238095238,221.82241595135318,815.6187161008523,448.7432182381669,1,pros,6000,diamond,diamond,right,0.01858730871513913,1.6042334865217454,13688.912807356794
match_1,player_2,259.84959748568355,149.17571451985427,400.565,220.47562223520313,10533.287485953884,823.4072952542136,,,69.06128957235794,26.527497112978065,64.04472330541819,26.575060663531815,53.27419538952306,27.30432931289374,64.34365861472116,28.077281512628414,mid,4.0,3.0,5.0,a little bit,433.45865193674456,219.70218460911687,,,,,726.9260992191106,354.55523381847553,,,383.3349233529028,221.86501025338012,925.9200835419274,494.07334339894993,2,amateurs,1000,platinum,platinum,right,0.024669372957637683,,10099.82883401714
match_1,player_2,259.84959748568355,149.17571451985427,400.565,220.47562223520313,10533.287485953884,823.4072952542136,,,69.06128957235794,26.527497112978065,64.04472330541819,26.575060663531815,53.27419538952306,27.30432931289374,64.34365861472116,28.077281512628414,mid,4.0,3.0,5.0,a little bit,433.45865193674456,219.70218460911687,,,,,726.9260992191106,354.55523381847553,,,383.3349233529028,221.86501025338012,925.9200835419274,494.07334339894993,2,pros,5000,diamond,diamond,right,0.024669372957637683,,10099.82883401714
match_1,player_3,262.64707938371123,151.74281805465088,,,43171.37809188292,4099.806197050153,426.2076930168149,226.3658081521958,,,,,59.27057629532718,28.079682631929444,65.15473917326251,27.79212470073807,support,2.0,4.0,4.0,a little bit,433.95500810100754,219.88298611358871,,,,,703.0761451302534,388.3609757875758,,,,,,,3,amateurs,400,no_rank,no_rank,right,0.006083824306433486,1.6227391235194837,42737.42308378191
match_1,player_3,262.64707938371123,151.74281805465088,,,43171.37809188292,4099.806197050153,426.2076930168149,226.3658081521958,,,,,59.27057629532718,28.079682631929444,65.15473917326251,27.79212470073807,support,2.0,4.0,4.0,a little bit,433.95500810100754,219.88298611358871,,,,,703.0761451302534,388.3609757875758,,,,,,,3,pros,10000,master,master,right,0.006083824306433486,1.6227391235194837,42737.42308378191
match_1,player_4,262.1205382781123,151.8541763796879,,,22648.027129012444,2828.3483649657715,417.5787672735908,224.32693449127603,53.74047449368421,33.822092325078806,65.89193291943381,26.356786227389325,50.18325032170755,27.01955870309321,45.05882071215092,26.040259265183536,jungle,2.0,4.0,4.0,no,432.91576163580135,223.14709317084595,,,,,517.3777871130933,344.0871298790103,,,383.2388698630137,221.75227969181066,1805.9802010622027,1127.9975009819073,4,amateurs,415,gold,gold,right,0.01157365879038349,1.5930791551994172,22215.11136737664
match_1,player_4,262.1205382781123,151.8541763796879,,,22648.027129012444,2828.3483649657715,417.5787672735908,224.32693449127603,53.74047449368421,33.822092325078806,65.89193291943381,26.356786227389325,50.18325032170755,27.01955870309321,45.05882071215092,26.040259265183536,jungle,2.0,4.0,4.0,no,432.91576163580135,223.14709317084595,,,,,517.3777871130933,344.0871298790103,,,383.2388698630137,221.75227969181066,1805.9802010622027,1127.9975009819073,4,pros,7000,diamond,diamond,right,0.01157365879038349,1.5930791551994172,22215.11136737664
